"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"87","Seton Hall","34","22-12","2701","79.4","2512","73.9","5.6"
"88","Mercer","34","19-15","2561","75.3","2373","69.8","5.5"
"89","Wright St.","35","25-10","2500","71.4","2307","65.9","5.5"
"90","Purdue Fort Wayne","33","18-15","2716","82.3","2535","76.8","5.5"
"91","SMU","33","17-16","2293","69.5","2114","64.1","5.4"
"92","UNLV","33","20-13","2753","83.4","2577","78.1","5.3"
"93","Louisville","36","22-14","2721","75.6","2531","70.3","5.3"
"94","Canisius","33","21-12","2519","76.3","2346","71.1","5.2"
"95","Towson","32","18-14","2446","76.4","2279","71.2","5.2"
"96","UCLA","33","21-12","2679","81.2","2507","76.0","5.2"
"97","Wofford","34","21-13","2578","75.8","2405","70.7","5.1"
"98","Utah","35","23-12","2571","73.5","2396","68.5","5.0"
"99","Campbell","34","18-16","2581","75.9","2412","70.9","5.0"
"100","Arkansas","35","23-12","2819","80.5","2647","75.6","4.9"
"101","Eastern Mich.","35","22-13","2509","71.7","2339","66.8","4.9"
"102","Central Mich.","36","21-15","2835","78.8","2661","73.9","4.8"
"103","Texas A&M","35","22-13","2631","75.2","2467","70.5","4.7"
"104","Marshall","36","25-11","3017","83.8","2849","79.1","4.7"
"105","Missouri","33","20-13","2399","72.7","2246","68.1","4.6"
"106","Toledo","34","23-11","2687","79.0","2532","74.5","4.6"
"107","UMBC","36","25-11","2630","73.1","2466","68.5","4.6"
"108","New Mexico","34","19-15","2795","82.2","2641","77.7","4.5"
"109","High Point","30","14-16","2126","70.9","1993","66.4","4.4"
"110","UC Davis","33","22-11","2386","72.3","2241","67.9","4.4"
"111","Lipscomb","33","23-10","2708","82.1","2564","77.7","4.4"
"112","Louisiana Tech","33","17-16","2468","74.8","2331","70.6","4.2"
"113","UT Arlington","34","21-13","2640","77.6","2500","73.5","4.1"
"114","Kansas St.","37","25-12","2630","71.1","2478","67.0","4.1"
"115","North Dakota St.","32","15-17","2382","74.4","2264","70.8","3.7"
"116","Nebraska","33","22-11","2386","72.3","2265","68.6","3.7"
"117","Rider","32","22-10","2620","81.9","2505","78.3","3.6"
"118","Seattle U","34","20-14","2589","76.1","2468","72.6","3.6"
"","San Diego","34","20-14","2385","70.1","2264","66.6","3.6"
"120","Missouri St.","33","18-15","2313","70.1","2197","66.6","3.5"
"121","William & Mary","31","19-12","2636","85.0","2531","81.6","3.4"
"122","Oklahoma St.","36","21-15","2757","76.6","2637","73.3","3.3"
"123","Texas","34","19-15","2450","72.1","2338","68.8","3.3"
"124","North Texas","38","20-18","2828","74.4","2703","71.1","3.3"
"125","Oklahoma","32","18-14","2718","84.9","2614","81.7","3.3"
"126","UTSA","35","20-15","2740","78.3","2628","75.1","3.2"
"127","Charleston So.","31","15-16","2232","72.0","2133","68.8","3.2"
"128","UIC","36","20-16","2708","75.2","2597","72.1","3.1"
"129","Saint Francis (PA)","31","18-13","2450","79.0","2355","76.0","3.1"
"130","LSU","33","18-15","2559","77.5","2463","74.6","2.9"
"131","Iona","34","20-14","2700","79.4","2602","76.5","2.9"
"132","Syracuse","37","23-14","2466","66.6","2360","63.8","2.9"
"133","Hampton","35","19-16","2703","77.2","2603","74.4","2.9"
"134","Eastern Wash.","35","20-15","2619","74.8","2520","72.0","2.8"
"135","Marquette","35","21-14","2846","81.3","2748","78.5","2.8"
"136","Oregon St.","32","16-16","2339","73.1","2251","70.3","2.8"
"137","N.C. Central","35","19-16","2520","72.0","2425","69.3","2.7"
"138","Bradley","33","20-13","2223","67.4","2136","64.7","2.6"
"139","Sam Houston St.","36","21-15","2571","71.4","2477","68.8","2.6"
"140","Tulsa","31","19-12","2277","73.5","2197","70.9","2.6"
"141","UC Irvine","35","18-17","2440","69.7","2350","67.1","2.6"
"142","Abilene Christian","32","16-16","2359","73.7","2279","71.2","2.5"
"143","Bethune-Cookman","32","18-14","2622","81.9","2543","79.5","2.5"
"144","Southeastern La.","34","22-12","2439","71.7","2357","69.3","2.4"
"145","Colgate","33","19-14","2394","72.5","2315","70.2","2.4"
"146","Radford","36","23-13","2422","67.3","2336","64.9","2.4"
"147","Northwestern","32","15-17","2203","68.8","2127","66.5","2.4"
"148","Navy","32","20-12","2199","68.7","2125","66.4","2.3"
"149","Cal St. Fullerton","32","20-12","2318","72.4","2245","70.2","2.3"
"150","Duquesne","32","16-16","2317","72.4","2245","70.2","2.3"
"151","Valparaiso","32","15-17","2252","70.4","2182","68.2","2.2"
"152","Appalachian St.","33","15-18","2520","76.4","2448","74.2","2.2"
"153","Hofstra","31","19-12","2464","79.5","2397","77.3","2.2"
"154","UNI","32","16-16","2056","64.3","1990","62.2","2.1"
"155","Troy","33","16-17","2475","75.0","2408","73.0","2.0"
"156","Illinois","32","14-18","2426","75.8","2362","73.8","2.0"
"157","Austin Peay","34","19-15","2512","73.9","2446","71.9","1.9"
"158","Oakland","33","19-14","2580","78.2","2516","76.2","1.9"
"159","Saint Joseph's","32","16-16","2371","74.1","2311","72.2","1.9"
"160","Georgetown","30","15-15","2350","78.3","2294","76.5","1.9"
"161","Boston College","35","19-16","2673","76.4","2610","74.6","1.8"
"162","Coastal Caro.","32","14-18","2298","71.8","2241","70.0","1.8"
"163","UNC Asheville","34","21-13","2557","75.2","2499","73.5","1.7"
"164","NJIT","30","14-16","2248","74.9","2197","73.2","1.7"
"165","Alabama","36","20-16","2604","72.3","2543","70.6","1.7"
"166","Western Mich.","32","17-15","2402","75.1","2349","73.4","1.7"
"","Harvard","32","18-14","2182","68.2","2129","66.5","1.7"
"168","Indiana","31","16-15","2229","71.9","2178","70.3","1.6"
"169","Washington","34","21-13","2535","74.6","2482","73.0","1.6"
"170","Evansville","32","17-15","2094","65.4","2045","63.9","1.5"
"171","Central Ark.","35","18-17","2819","80.5","2766","79.0","1.5"
"172","Ball St.","32","19-13","2410","75.3","2362","73.8","1.5"
"","La.-Monroe","32","16-16","2235","69.8","2187","68.3","1.5"
"174","Georgia","33","18-15","2247","68.1","2202","66.7","1.4"
"175","Miami (OH)","34","16-18","2449","72.0","2404","70.7","1.3"
