 


  
  

NCAA Men's Basketball
Division IScoring Margin
Through Games 03/14/2010


"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"1","Kansas","34","32-2","2780","81.8","2169","63.8","18.0"
"2","BYU","34","29-5","2821","83.0","2216","65.2","17.8"
"3","Murray St.","34","30-4","2635","77.5","2056","60.5","17.0"
"4","Duke","34","29-5","2653","78.0","2100","61.8","16.3"
"5","Coastal Caro.","34","28-6","2535","74.6","2038","59.9","14.6"
"6","Syracuse","32","28-4","2607","81.5","2140","66.9","14.6"
"7","Utah St.","34","27-7","2506","73.7","2028","59.6","14.1"
"8","Kentucky","34","32-2","2694","79.2","2219","65.3","14.0"
"9","Saint Mary's (CA)","31","26-5","2464","79.5","2047","66.0","13.5"
"10","Ohio St.","34","27-7","2524","74.2","2081","61.2","13.0"
"11","Cornell","31","27-4","2335","75.3","1958","63.2","12.2"
"12","Maryland","31","23-8","2457","79.3","2092","67.5","11.8"
"13","Marshall","32","23-9","2555","79.8","2179","68.1","11.8"
"","Baylor","32","25-7","2484","77.6","2108","65.9","11.8"
"","Missouri","32","22-10","2482","77.6","2106","65.8","11.8"
"16","UTEP","32","26-6","2425","75.8","2054","64.2","11.6"
"17","Texas","33","24-9","2681","81.2","2300","69.7","11.5"
"18","Wisconsin","31","23-8","2092","67.5","1742","56.2","11.3"
"19","Xavier","32","24-8","2561","80.0","2210","69.1","11.0"
"20","Sam Houston St.","32","25-7","2557","79.9","2216","69.3","10.7"
"21","Memphis","32","23-9","2411","75.3","2072","64.8","10.6"
"22","Gonzaga","32","26-6","2482","77.6","2144","67.0","10.6"
"23","Old Dominion","34","26-8","2296","67.5","1943","57.1","10.4"
"24","Purdue","32","27-5","2275","71.1","1949","60.9","10.2"
"25","Siena","33","27-6","2490","75.5","2154","65.3","10.2"
"26","Kansas St.","33","26-7","2626","79.6","2291","69.4","10.2"
"27","Butler","32","28-4","2243","70.1","1921","60.0","10.1"
"28","Washington","33","24-9","2633","79.8","2308","69.9","9.8"
"29","VCU","31","22-9","2338","75.4","2037","65.7","9.7"
"30","UNLV","33","25-8","2419","73.3","2099","63.6","9.7"
"31","Villanova","31","24-7","2559","82.5","2259","72.9","9.7"
