 


  
  

NCAA Men's Basketball
Division IScoring Margin
Through Games 03/18/2012


"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"1","Kentucky","36","34-2","2775","77.1","2143","59.5","17.6"
"2","Ohio St.","36","29-7","2693","74.8","2133","59.3","15.6"
"3","North Carolina","36","31-5","2951","82.0","2404","66.8","15.2"
"4","Wichita St.","33","27-6","2545","77.1","2060","62.4","14.7"
"5","Missouri","35","30-5","2814","80.4","2321","66.3","14.1"
"6","Syracuse","35","33-2","2606","74.5","2117","60.5","14.0"
"7","New Mexico","35","28-7","2545","72.7","2076","59.3","13.4"
"8","Belmont","35","27-8","2831","80.9","2363","67.5","13.4"
"9","Michigan St.","36","29-7","2607","72.4","2138","59.4","13.0"
"10","Kansas","35","29-6","2602","74.3","2154","61.5","12.8"
"11","Murray St.","33","31-2","2412","73.1","2001","60.6","12.5"
"12","Saint Mary's (CA)","33","27-6","2467","74.8","2068","62.7","12.1"
"13","Memphis","35","26-9","2614","74.7","2208","63.1","11.6"
"14","Indiana","35","27-8","2692","76.9","2290","65.4","11.5"
"15","Florida","35","25-10","2672","76.3","2274","65.0","11.4"
"16","Wisconsin","35","26-9","2241","64.0","1851","52.9","11.1"
"17","Saint Louis","34","26-8","2336","68.7","1960","57.6","11.1"
"18","Gonzaga","33","26-7","2436","73.8","2086","63.2","10.6"
"19","BYU","35","26-9","2727","77.9","2358","67.4","10.5"
"20","UNLV","35","26-9","2671","76.3","2307","65.9","10.4"
"21","Middle Tenn.","32","26-6","2316","72.4","1986","62.1","10.3"
"22","South Dakota St.","35","27-8","2689","76.8","2329","66.5","10.3"
"","Lehigh","35","27-8","2648","75.7","2288","65.4","10.3"
"24","Iona","33","25-8","2736","82.9","2400","72.7","10.2"
"25","Davidson","33","25-8","2571","77.9","2238","67.8","10.1"
"26","Baylor","36","29-7","2694","74.8","2331","64.8","10.1"
"27","Marquette","34","27-7","2580","75.9","2240","65.9","10.0"
"28","Harvard","31","26-5","2033","65.6","1724","55.6","10.0"
"29","Long Beach St.","34","25-9","2510","73.8","2175","64.0","9.9"
"30","New Mexico St.","36","26-10","2812","78.1","2459","68.3","9.8"
"31","Georgetown","33","24-9","2278","69.0","1959","59.4","9.7"
"32","Creighton","35","29-6","2772","79.2","2439","69.7","9.5"
"33","Drexel","35","29-6","2280","65.1","1948","55.7","9.5"
"34","UNC Asheville","34","24-10","2745","80.7","2426","71.4","9.4"
"35","California","34","24-10","2419","71.1","2104","61.9","9.3"
"36","UT Arlington","33","24-9","2537","76.9","2232","67.6","9.2"
"37","Wagner","31","25-6","2275","73.4","1993","64.3","9.1"
"38","Georgia St.","34","22-12","2298","67.6","2003","58.9","8.7"
"39","Duke","34","27-7","2628","77.3","2334","68.6","8.6"
"40","Virginia","32","22-10","2000","62.5","1735","54.2","8.3"
"41","Weber St.","32","25-7","2473","77.3","2210","69.1","8.2"
"42","Ohio","36","29-7","2532","70.3","2238","62.2","8.2"
"","VCU","36","29-7","2448","68.0","2154","59.8","8.2"
"44","Montana","32","25-7","2239","70.0","1985","62.0","7.9"
"45","Lamar University","35","23-12","2573","73.5","2296","65.6","7.9"
"46","Stanford","33","22-11","2332","70.7","2078","63.0","7.7"
"47","Vanderbilt","36","25-11","2615","72.6","2339","65.0","7.7"
"48","Denver","31","22-9","2112","68.1","1876","60.5","7.6"
"49","N.C. Central","32","17-15","2263","70.7","2020","63.1","7.6"
"50","Bucknell","35","25-10","2410","68.9","2147","61.3","7.5"
"51","Louisville","37","28-9","2537","68.6","2259","61.1","7.5"
"52","San Diego St.","34","26-8","2416","71.1","2166","63.7","7.4"
"53","Stony Brook","32","22-10","2125","66.4","1892","59.1","7.3"
"","Wyoming","32","21-11","2027","63.3","1794","56.1","7.3"
"55","Cincinnati","36","26-10","2456","68.2","2195","61.0","7.3"
"56","SFA","32","20-12","1970","61.6","1741","54.4","7.2"
"57","Kansas St.","33","22-11","2343","71.0","2114","64.1","6.9"
"58","Florida St.","35","25-10","2443","69.8","2201","62.9","6.9"
"59","Cal St. Fullerton","31","21-10","2417","78.0","2205","71.1","6.8"
"60","La Salle","34","21-13","2478","72.9","2249","66.1","6.7"
"","Oral Roberts","34","27-7","2467","72.6","2238","65.8","6.7"
"62","Coastal Caro.","31","19-12","2248","72.5","2042","65.9","6.6"
"63","Alabama","33","21-12","2135","64.7","1918","58.1","6.6"
"64","UC Santa Barbara","31","20-11","2262","73.0","2059","66.4","6.5"
"65","Oregon St.","34","20-14","2685","79.0","2464","72.5","6.5"
"66","Akron","34","22-12","2456","72.2","2241","65.9","6.3"
"67","Southern Miss.","34","25-9","2426","71.4","2212","65.1","6.3"
"68","Arizona","35","23-12","2416","69.0","2196","62.7","6.3"
"69","Nevada","34","28-6","2405","70.7","2193","64.5","6.2"
"70","Vermont","36","24-12","2415","67.1","2193","60.9","6.2"
"71","UCLA","33","19-14","2263","68.6","2063","62.5","6.1"
"72","Iowa St.","34","23-11","2490","73.2","2286","67.2","6.0"
"73","Texas","34","20-14","2470","72.6","2270","66.8","5.9"
"74","Cleveland St.","33","22-11","2177","66.0","1983","60.1","5.9"
"75","Purdue","35","22-13","2514","71.8","2310","66.0","5.8"
"76","Washington","33","23-10","2489","75.4","2299","69.7","5.8"
"","Oregon","33","24-9","2441","74.0","2251","68.2","5.8"
"78","Manhattan","34","21-13","2420","71.2","2230","65.6","5.6"
"79","Buffalo","31","20-11","2262","73.0","2090","67.4","5.5"
"80","NC State","36","24-12","2640","73.3","2441","67.8","5.5"
"81","Temple","32","24-8","2401","75.0","2225","69.5","5.5"
"82","George Mason","33","24-9","2323","70.4","2142","64.9","5.5"
"83","St. Bonaventure","32","20-12","2254","70.4","2081","65.0","5.4"
"84","UTSA","32","18-14","2339","73.1","2168","67.8","5.3"
"85","Mercer","35","24-11","2376","67.9","2189","62.5","5.3"
"86","North Texas","32","18-14","2250","70.3","2080","65.0","5.3"
"87","Miami (FL)","32","20-12","2272","71.0","2103","65.7","5.3"
"88","Robert Morris","36","26-10","2471","68.6","2281","63.4","5.3"
"89","Princeton","31","20-11","2080","67.1","1917","61.8","5.3"
"90","Massachusetts","35","24-11","2711","77.5","2536","72.5","5.0"
"91","Michigan","34","24-10","2255","66.3","2090","61.5","4.9"
"92","North Dakota St.","31","17-14","2267","73.1","2119","68.4","4.8"
"93","Notre Dame","34","22-12","2257","66.4","2095","61.6","4.8"
"94","West Virginia","33","19-14","2346","71.1","2194","66.5","4.6"
"95","Detroit Mercy","36","22-14","2597","72.1","2432","67.6","4.6"
"96","Charleston So.","31","19-12","2383","76.9","2242","72.3","4.5"
"97","Seton Hall","34","21-13","2324","68.4","2170","63.8","4.5"
"98","Fairfield","35","21-14","2291","65.5","2134","61.0","4.5"
"99","Colorado","36","24-12","2429","67.5","2269","63.0","4.4"
"100","Kent St.","33","21-12","2322","70.4","2178","66.0","4.4"
"101","San Francisco","34","20-14","2563","75.4","2415","71.0","4.4"
"102","Mississippi St.","33","21-12","2377","72.0","2236","67.8","4.3"
"103","Savannah St.","33","21-12","2089","63.3","1949","59.1","4.2"
"104","UConn","34","20-14","2336","68.7","2193","64.5","4.2"
"105","Dayton","33","20-13","2369","71.8","2231","67.6","4.2"
"","Cal Poly","33","18-15","2136","64.7","1998","60.5","4.2"
"107","Saint Joseph's","34","20-14","2446","71.9","2310","67.9","4.0"
"","Old Dominion","35","22-13","2295","65.6","2155","61.6","4.0"
"109","Illinois St.","34","21-13","2351","69.1","2218","65.2","3.9"
"110","Tennessee","33","19-14","2274","68.9","2145","65.0","3.9"
"111","Clemson","31","16-15","2001","64.5","1880","60.6","3.9"
"112","Yale","29","19-10","1991","68.7","1878","64.8","3.9"
"113","Quinnipiac","32","18-14","2271","71.0","2150","67.2","3.8"
"114","East Carolina","31","15-16","2136","68.9","2019","65.1","3.8"
"115","LIU Brooklyn","34","25-9","2769","81.4","2641","77.7","3.8"
"116","Rice","34","19-15","2368","69.6","2245","66.0","3.6"
"117","Xavier","35","23-12","2473","70.7","2347","67.1","3.6"
"118","Utah St.","34","19-15","2302","67.7","2180","64.1","3.6"
"119","Utah Valley","33","20-13","2305","69.8","2190","66.4","3.5"
"120","Loyola Marymount","33","21-12","2333","70.7","2224","67.4","3.3"
"121","Toledo","36","19-17","2502","69.5","2385","66.3","3.3"
"122","UNI","34","20-14","2216","65.2","2106","61.9","3.2"
"123","Minnesota","34","20-14","2294","67.5","2188","64.4","3.1"
"124","Loyola Maryland","33","24-9","2222","67.3","2120","64.2","3.1"
"125","USC Upstate","34","21-13","2426","71.4","2321","68.3","3.1"
"126","Columbia","30","15-15","1955","65.2","1863","62.1","3.1"
"127","Albany (NY)","34","19-15","2453","72.1","2351","69.1","3.0"
"","Pittsburgh","34","18-16","2348","69.1","2246","66.1","3.0"
"129","Tulsa","31","17-14","2093","67.5","2001","64.5","3.0"
"","Tulane","31","15-16","2002","64.6","1910","61.6","3.0"
"131","Butler","35","21-14","2227","63.6","2124","60.7","2.9"
"132","Valparaiso","34","22-12","2323","68.3","2223","65.4","2.9"
"133","Portland St.","32","17-15","2438","76.2","2345","73.3","2.9"
"","Missouri St.","32","16-16","2108","65.9","2015","63.0","2.9"
"135","Virginia Tech","33","16-17","2147","65.1","2057","62.3","2.7"
"136","South Fla.","36","22-14","2134","59.3","2037","56.6","2.7"
"137","Ball St.","30","15-15","1901","63.4","1822","60.7","2.6"
"138","ETSU","31","17-14","2098","67.7","2017","65.1","2.6"
"139","Marshall","35","21-14","2472","70.6","2383","68.1","2.5"
"140","Bowling Green","32","16-16","2125","66.4","2046","63.9","2.5"
"141","Col. of Charleston","31","19-12","2191","70.7","2117","68.3","2.4"
"142","Washington St.","32","16-16","2203","68.8","2131","66.6","2.3"
"143","Arkansas","32","18-14","2299","71.8","2231","69.7","2.1"
"","American","32","20-12","2059","64.3","1991","62.2","2.1"
"145","UCF","33","22-11","2166","65.6","2096","63.5","2.1"
"146","Boise St.","30","13-17","2050","68.3","1988","66.3","2.1"
"147","Colorado St.","32","20-12","2243","70.1","2177","68.0","2.1"
"148","NJIT","32","15-17","2236","69.9","2175","68.0","1.9"
"149","Norfolk St.","36","26-10","2482","68.9","2416","67.1","1.8"
"150","Richmond","32","16-16","2207","69.0","2149","67.2","1.8"
"151","Oakland","34","19-15","2717","79.9","2656","78.1","1.8"
"152","Idaho","33","19-14","2298","69.6","2240","67.9","1.8"
"153","Chattanooga","32","11-21","2260","70.6","2204","68.9","1.8"
