 


  
  

NCAA Men's Basketball
Division IScoring Margin
Through Games 03/16/2011


"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"1","Belmont","34","30-4","2732","80.4","2106","61.9","18.4"
"2","Ohio St.","34","32-2","2621","77.1","2034","59.8","17.3"
"3","Kansas","34","32-2","2801","82.4","2218","65.2","17.1"
"4","Duke","34","30-4","2756","81.1","2185","64.3","16.8"
"5","BYU","34","30-4","2775","81.6","2296","67.5","14.1"
"6","Utah St.","33","30-3","2381","72.2","1922","58.2","13.9"
"7","Texas","34","27-7","2547","74.9","2087","61.4","13.5"
"8","San Diego St.","34","32-2","2454","72.2","2004","58.9","13.2"
"9","Washington","33","23-10","2756","83.5","2323","70.4","13.1"
"10","Pittsburgh","32","27-5","2370","74.1","1951","61.0","13.1"
"11","Saint Mary's (CA)","34","25-9","2684","78.9","2253","66.3","12.7"
"12","Kentucky","33","25-8","2522","76.4","2107","63.8","12.6"
"13","Coastal Caro.","34","28-6","2597","76.4","2178","64.1","12.3"
"14","George Mason","32","26-6","2347","73.3","1969","61.5","11.8"
"15","Gonzaga","33","24-9","2531","76.7","2147","65.1","11.6"
"16","Purdue","32","25-7","2325","72.7","1966","61.4","11.2"
"17","Wichita St.","33","25-8","2388","72.4","2029","61.5","10.9"
"18","Louisville","34","25-9","2562","75.4","2197","64.6","10.7"
"19","Notre Dame","32","26-6","2432","76.0","2100","65.6","10.4"
"20","Duquesne","31","19-12","2419","78.0","2100","67.7","10.3"
"21","Syracuse","33","26-7","2429","73.6","2090","63.3","10.3"
"22","Missouri","33","23-10","2685","81.4","2357","71.4","9.9"
"23","Wisconsin","31","23-8","2114","68.2","1808","58.3","9.9"
"24","Iona","34","23-11","2692","79.2","2360","69.4","9.8"
"25","SFA","29","18-11","1926","66.4","1643","56.7","9.8"
"26","Cincinnati","33","25-8","2276","69.0","1954","59.2","9.8"
"27","UNLV","32","24-8","2301","71.9","2004","62.6","9.3"
"28","Maryland","33","19-14","2536","76.8","2231","67.6","9.2"
"29","Richmond","34","27-7","2386","70.2","2074","61.0","9.2"
"30","Arizona","34","27-7","2602","76.5","2294","67.5","9.1"
"31","Oakland","34","25-9","2911","85.6","2605","76.6","9.0"
"32","North Carolina","33","26-7","2530","76.7","2236","67.8","8.9"
"33","Temple","32","25-7","2270","70.9","1989","62.2","8.8"
"34","LIU Brooklyn","32","27-5","2643","82.6","2364","73.9","8.7"
"35","Southern Miss.","32","22-10","2371","74.1","2093","65.4","8.7"
"36","Vanderbilt","33","23-10","2515","76.2","2232","67.6","8.6"
"37","Florida","33","26-7","2361","71.5","2081","63.1","8.5"
"38","Butler","32","23-9","2330","72.8","2069","64.7","8.2"
"39","Xavier","31","24-7","2251","72.6","2001","64.5","8.1"
"40","Morehead St.","33","24-9","2302","69.8","2036","61.7","8.1"
"41","South Dakota St.","31","19-12","2533","81.7","2285","73.7","8.0"
"42","Alabama","33","22-11","2201","66.7","1940","58.8","7.9"
"43","Virginia Tech","33","22-11","2314","70.1","2054","62.2","7.9"
"44","Texas A&M","32","24-8","2204","68.9","1952","61.0","7.9"
"45","Cleveland St.","35","27-8","2500","71.4","2227","63.6","7.8"
"46","New Mexico","34","22-12","2495","73.4","2234","65.7","7.7"
"47","Clemson","33","22-11","2254","68.3","2002","60.7","7.6"
"48","Col. of Charleston","35","25-10","2682","76.6","2416","69.0","7.6"
"49","Old Dominion","33","27-6","2173","65.8","1924","58.3","7.5"
"50","Utah Valley","30","19-11","2276","75.9","2054","68.5","7.4"
"51","Bucknell","33","25-8","2335","70.8","2093","63.4","7.3"
"52","Fairfield","32","25-7","2082","65.1","1852","57.9","7.2"
"53","Missouri St.","34","26-8","2372","69.8","2128","62.6","7.2"
"54","Villanova","32","21-11","2327","72.7","2098","65.6","7.2"
"55","Kansas St.","32","22-10","2339","73.1","2111","66.0","7.1"
