 


  
  

NCAA Men's Basketball
Division IScoring Margin
Through Games 03/13/2014


"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"269","Alcorn","31","12-19","1985","64.0","2101","67.8","-3.7"
"270","Loyola Marymount","32","13-19","2345","73.3","2468","77.1","-3.8"
"271","Appalachian St.","30","9-21","2034","67.8","2152","71.7","-3.9"
"272","Cal St. Fullerton","31","11-20","2092","67.5","2215","71.5","-4.0"
"273","Campbell","32","12-20","2164","67.6","2291","71.6","-4.0"
"274","Monmouth","32","11-21","2208","69.0","2338","73.1","-4.1"
"275","Virginia Tech","31","9-22","1950","62.9","2077","67.0","-4.1"
"276","La.-Monroe","27","10-17","1738","64.4","1851","68.6","-4.2"
"277","Temple","31","9-22","2291","73.9","2421","78.1","-4.2"
"278","Nicholls St.","29","14-15","1986","68.5","2114","72.9","-4.4"
"279","Miami (OH)","31","13-18","2023","65.3","2160","69.7","-4.4"
"280","Navy","30","9-21","1820","60.7","1957","65.2","-4.6"
"281","Texas St.","31","8-23","1903","61.4","2047","66.0","-4.6"
"282","Hofstra","33","10-23","2260","68.5","2414","73.2","-4.7"
"283","Washington St.","31","10-21","1934","62.4","2081","67.1","-4.7"
"284","Southern California","32","11-21","2258","70.6","2410","75.3","-4.8"
"285","Boston College","32","8-24","2197","68.7","2354","73.6","-4.9"
"286","New Orleans","26","11-15","1858","71.5","1987","76.4","-5.0"
"287","UTRGV","32","9-23","2101","65.7","2262","70.7","-5.0"
"288","Coppin St.","31","12-19","2167","69.9","2324","75.0","-5.1"
"289","Rutgers","33","12-21","2347","71.1","2515","76.2","-5.1"
"290","South Fla.","32","12-20","2100","65.6","2264","70.8","-5.1"
"291","Jacksonville","30","12-18","2231","74.4","2385","79.5","-5.1"
"292","Jacksonville St.","31","10-21","2014","65.0","2176","70.2","-5.2"
"293","James Madison","31","11-20","1959","63.2","2130","68.7","-5.5"
"294","UIC","31","6-25","2071","66.8","2248","72.5","-5.7"
"295","Tulane","33","17-16","2109","63.9","2301","69.7","-5.8"
"296","Eastern Ill.","30","11-19","2030","67.7","2206","73.5","-5.9"
"297","Samford","33","13-20","2327","70.5","2521","76.4","-5.9"
"298","DePaul","33","12-21","2290","69.4","2487","75.4","-6.0"
"299","Fordham","31","10-21","2224","71.7","2419","78.0","-6.3"
"300","UNCW","32","9-23","2018","63.1","2221","69.4","-6.3"
"301","Chicago St.","32","13-19","2232","69.8","2439","76.2","-6.5"
"302","Fairleigh Dickinson","31","10-21","2157","69.6","2358","76.1","-6.5"
"303","Fairfield","32","7-25","2030","63.4","2240","70.0","-6.6"
"304","Penn","28","8-20","1911","68.3","2095","74.8","-6.6"
"305","Central Conn. St.","30","11-19","2117","70.6","2318","77.3","-6.7"
"","Loyola Maryland","30","11-19","1957","65.2","2158","71.9","-6.7"
"307","Central Ark.","29","8-21","2165","74.7","2360","81.4","-6.7"
"308","Tennessee St.","30","5-25","2061","68.7","2265","75.5","-6.8"
"309","Niagara","33","7-26","2484","75.3","2709","82.1","-6.8"
"310","Bethune-Cookman","32","7-25","2032","63.5","2252","70.4","-6.9"
"311","Sacred Heart","31","5-26","2162","69.7","2378","76.7","-7.0"
"312","UMKC","30","10-20","2085","69.5","2295","76.5","-7.0"
"","New Hampshire","30","6-24","1735","57.8","1945","64.8","-7.0"
"314","UT Martin","31","8-23","2304","74.3","2526","81.5","-7.2"
"315","UMBC","30","9-21","1968","65.6","2185","72.8","-7.2"
"316","The Citadel","33","7-26","2211","67.0","2453","74.3","-7.3"
"317","Ark.-Pine Bluff","31","13-18","1957","63.1","2188","70.6","-7.5"
"318","UC Davis","31","9-22","2174","70.1","2408","77.7","-7.5"
"","Saint Francis (PA)","31","10-21","1916","61.8","2150","69.4","-7.5"
"320","Rice","30","7-23","1853","61.8","2083","69.4","-7.7"
"321","N.C. A&T","32","9-23","2089","65.3","2342","73.2","-7.9"
"322","UTSA","30","8-22","2066","68.9","2304","76.8","-7.9"
"323","McNeese","31","11-20","2111","68.1","2358","76.1","-8.0"
"324","IUPUI","32","6-26","2126","66.4","2383","74.5","-8.0"
"325","Furman","30","9-21","1955","65.2","2196","73.2","-8.0"
"326","LIU Brooklyn","29","9-20","2080","71.7","2315","79.8","-8.1"
"327","Prairie View","32","10-22","2234","69.8","2496","78.0","-8.2"
"328","Ball St.","30","5-25","1967","65.6","2214","73.8","-8.2"
"329","UMES","30","6-24","1996","66.5","2251","75.0","-8.5"
"330","TCU","31","9-22","1973","63.6","2247","72.5","-8.8"
"331","Mississippi Val.","32","9-23","2293","71.7","2582","80.7","-9.0"
"332","Houston Baptist","31","6-25","2091","67.5","2373","76.5","-9.1"
"333","San Jose St.","31","7-24","1938","62.5","2222","71.7","-9.2"
"334","Kennesaw St.","31","6-25","2016","65.0","2304","74.3","-9.3"
"335","Howard","33","8-25","2020","61.2","2344","71.0","-9.8"
"336","South Carolina St.","30","9-21","1883","62.8","2180","72.7","-9.9"
"337","Binghamton","30","7-23","1840","61.3","2140","71.3","-10.0"
"338","Longwood","32","8-24","2235","69.8","2570","80.3","-10.5"
"339","Lamar University","30","4-26","2001","66.7","2318","77.3","-10.6"
"340","Maine","29","6-23","2091","72.1","2404","82.9","-10.8"
"341","Stetson","31","7-24","1916","61.8","2252","72.6","-10.8"
"342","Presbyterian","32","6-26","2092","65.4","2445","76.4","-11.0"
"343","Grambling","29","5-24","1903","65.6","2316","79.9","-14.2"
"344","Cornell","28","2-26","1795","64.1","2195","78.4","-14.3"
"345","Southern Utah","29","2-27","1710","59.0","2171","74.9","-15.9"
Reclassifying
"NR","Incarnate Word","27","21-6","2216","82.1","1935","71.7","10.4"
"NR","Omaha","30","16-14","2405","80.2","2243","74.8","5.4"
"NR","Grand Canyon","29","15-14","2096","72.3","2083","71.8","0.4"
"NR","Abilene Christian","31","11-20","2214","71.4","2228","71.9","-0.5"
"NR","Northern Ky.","30","9-21","2044","68.1","2211","73.7","-5.6"
"NR","UMass Lowell","28","10-18","1718","61.4","1938","69.2","-7.9"


      <script type="text/javascript">
var gaJsHost = (("https:" == document.location.protocol) ? "https://ssl." : "http://www.");document.write(unescape("%3Cscript src='" + gaJsHost + "google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E"));
</script>
<script type="text/javascript">
try {
var pageTracker = _gat._getTracker("UA-2045383-4");                        
pageTracker._trackPageview();                                              
} catch(err) {}
</script>

      
