"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"344","Central Conn. St.","29","4-25","1888","65.1","2268","78.2","-13.1"
"345","Ark.-Pine Bluff","33","8-25","1867","56.6","2322","70.4","-13.8"
"346","Bradley","32","5-27","1793","56.0","2238","69.9","-13.9"
Reclassifying
"NR","Grand Canyon","31","25-6","2381","76.8","2128","68.6","8.2"
"NR","Incarnate Word","29","17-12","2145","74.0","2140","73.8","0.2"
"NR","Abilene Christian","31","13-18","2209","71.3","2272","73.3","-2.0"
"NR","Northern Ky.","30","9-21","2116","70.5","2233","74.4","-3.9"
"NR","UMass Lowell","29","11-18","2221","76.6","2401","82.8","-6.2"
      
