NCAA Men's Basketball Division IScoring Margin Through Games 03/10/2018

"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"92","UCLA","32","21-11","2621","81.9","2442","76.3","5.6"
"93","Arkansas","34","23-11","2757","81.1","2568","75.5","5.6"
"94","Canisius","32","21-11","2441","76.3","2266","70.8","5.5"
"95","Marshall","34","24-10","2865","84.3","2680","78.8","5.4"
"96","SMU","33","17-16","2293","69.5","2114","64.1","5.4"
"97","Central Mich.","33","19-14","2572","77.9","2394","72.5","5.4"
"98","Wofford","33","21-12","2484","75.3","2307","69.9","5.4"
"99","UNLV","33","20-13","2753","83.4","2577","78.1","5.3"
"100","Towson","32","18-14","2446","76.4","2279","71.2","5.2"
"101","Texas A&M","32","20-12","2400","75.0","2234","69.8","5.2"
"","Missouri","32","20-12","2345","73.3","2179","68.1","5.2"
"103","Campbell","31","16-15","2351","75.8","2191","70.7","5.2"
"104","Lipscomb","32","23-9","2642","82.6","2480","77.5","5.1"
"105","UC Davis","32","22-10","2327","72.7","2172","67.9","4.8"
"106","Eastern Mich.","33","21-12","2364","71.6","2205","66.8","4.8"
"107","Utah","30","19-11","2205","73.5","2062","68.7","4.8"
"108","UT Arlington","33","21-12","2579","78.2","2426","73.5","4.6"
"109","Toledo","34","23-11","2687","79.0","2532","74.5","4.6"
"110","New Mexico","34","19-15","2795","82.2","2641","77.7","4.5"
"111","Kansas St.","33","22-11","2388","72.4","2240","67.9","4.5"
"112","UMBC","34","24-10","2513","73.9","2362","69.5","4.4"
"113","High Point","30","14-16","2126","70.9","1993","66.4","4.4"
"114","Louisiana Tech","33","17-16","2468","74.8","2331","70.6","4.2"
"115","Rider","31","22-9","2534","81.7","2406","77.6","4.1"
"116","Nebraska","32","22-10","2327","72.7","2199","68.7","4.0"
"117","Saint Francis (PA)","30","18-12","2389","79.6","2271","75.7","3.9"
"118","Southeastern La.","33","22-11","2394","72.5","2268","68.7","3.8"
"119","Seattle U","33","20-13","2499","75.7","2376","72.0","3.7"
"120","North Dakota St.","32","15-17","2382","74.4","2264","70.8","3.7"
"121","San Diego","31","18-13","2155","69.5","2042","65.9","3.6"
"122","Iona","33","20-13","2633","79.8","2513","76.2","3.6"
"123","LSU","31","17-14","2404","77.5","2292","73.9","3.6"
"124","Hampton","34","19-15","2640","77.6","2519","74.1","3.6"
"","Eastern Wash.","34","20-14","2554","75.1","2433","71.6","3.6"
"126","Oklahoma","31","18-13","2640","85.2","2531","81.6","3.5"
"127","Texas","33","19-14","2367","71.7","2251","68.2","3.5"
"","Missouri St.","33","18-15","2313","70.1","2197","66.6","3.5"
"129","UTSA","33","19-14","2595","78.6","2483","75.2","3.4"
"130","William & Mary","31","19-12","2636","85.0","2531","81.6","3.4"
"131","Oklahoma St.","33","19-14","2522","76.4","2412","73.1","3.3"
"132","N.C. Central","34","19-15","2474","72.8","2361","69.4","3.3"
"133","Cal St. Fullerton","31","20-11","2270","73.2","2171","70.0","3.2"
"","Charleston So.","31","15-16","2232","72.0","2133","68.8","3.2"
"135","Sam Houston St.","33","19-14","2346","71.1","2247","68.1","3.0"
"","Radford","34","22-12","2290","67.4","2188","64.4","3.0"
"","Syracuse","33","20-13","2229","67.5","2130","64.5","3.0"
"138","Abilene Christian","31","16-15","2286","73.7","2199","70.9","2.8"
"139","Oregon St.","32","16-16","2339","73.1","2251","70.3","2.8"
"140","Marquette","32","19-13","2598","81.2","2511","78.5","2.7"
"141","Bradley","33","20-13","2223","67.4","2136","64.7","2.6"
"142","Colgate","32","19-13","2326","72.7","2243","70.1","2.6"
"143","Tulsa","31","19-12","2277","73.5","2197","70.9","2.6"
"144","UC Irvine","35","18-17","2440","69.7","2350","67.1","2.6"
"145","Bethune-Cookman","32","18-14","2622","81.9","2543","79.5","2.5"
"146","Alabama","34","19-15","2460","72.4","2379","70.0","2.4"
"147","Northwestern","32","15-17","2203","68.8","2127","66.5","2.4"
"148","Boston College","34","19-15","2611","76.8","2531","74.4","2.4"
"149","UIC","32","17-15","2403","75.1","2328","72.8","2.3"
"150","Navy","32","20-12","2199","68.7","2125","66.4","2.3"
"151","Duquesne","32","16-16","2317","72.4","2245","70.2","2.3"
"152","Valparaiso","32","15-17","2252","70.4","2182","68.2","2.2"
"153","Central Ark.","33","17-16","2668","80.8","2596","78.7","2.2"
"","Appalachian St.","33","15-18","2520","76.4","2448","74.2","2.2"
"155","Hofstra","31","19-12","2464","79.5","2397","77.3","2.2"
"156","Harvard","30","18-12","2057","68.6","1994","66.5","2.1"
"157","UNI","32","16-16","2056","64.3","1990","62.2","2.1"
"158","Troy","33","16-17","2475","75.0","2408","73.0","2.0"
"159","Illinois","32","14-18","2426","75.8","2362","73.8","2.0"
"","La.-Monroe","31","16-15","2169","70.0","2107","68.0","2.0"
"161","Oakland","33","19-14","2580","78.2","2516","76.2","1.9"
"162","UNC Asheville","33","21-12","2459","74.5","2396","72.6","1.9"
