"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"343","Central Ark.","29","2-27","1894","65.3","2384","82.2","-16.9"
"344","Florida A&M","29","2-27","1607","55.4","2115","72.9","-17.5"
"345","Grambling","28","2-26","1457","52.0","2039","72.8","-20.8"
Reclassifying
"NR","Incarnate Word","28","18-10","2230","79.6","2097","74.9","4.8"
"NR","Northern Ky.","30","13-17","2117","70.6","2079","69.3","1.3"
"NR","Grand Canyon","31","17-14","2128","68.6","2113","68.2","0.5"
"NR","Omaha","29","12-17","2226","76.8","2256","77.8","-1.0"
"NR","UMass Lowell","29","12-17","1780","61.4","1928","66.5","-5.1"
"NR","Abilene Christian","31","10-21","1976","63.7","2186","70.5","-6.8"

      
