 


  
  

NCAA Men's Basketball
Division IScoring Margin
Through Games 04/04/2006


"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"1","A&M-Corpus Christi","28","20-8","2307","82.4","1886","67.4","15.0"
"2","Texas","37","30-7","2781","75.2","2230","60.3","14.9"
"3","Florida","39","33-6","3052","78.3","2478","63.5","14.7"
"4","UConn","34","30-4","2781","81.8","2283","67.1","14.6"
"5","Memphis","37","33-4","2961","80.0","2422","65.5","14.6"
"6","Kansas","33","25-8","2480","75.2","2024","61.3","13.8"
"7","Duke","36","32-4","2921","81.1","2453","68.1","13.0"
"8","Winthrop","31","23-8","2276","73.4","1897","61.2","12.2"
"9","Washington","33","26-7","2706","82.0","2306","69.9","12.1"
"10","Illinois","33","26-7","2311","70.0","1937","58.7","11.3"
"11","George Washington","30","27-3","2360","78.7","2026","67.5","11.1"
"12","North Carolina","31","23-8","2460","79.4","2128","68.6","10.7"
"13","Villanova","33","28-5","2449","74.2","2107","63.8","10.4"
"14","Pacific","32","24-8","2377","74.3","2047","64.0","10.3"
"15","Bucknell","32","27-5","2114","66.1","1785","55.8","10.3"
"16","Ohio St.","32","26-6","2363","73.8","2037","63.7","10.2"
"17","Murray St.","31","24-7","2203","71.1","1901","61.3","9.7"
"18","Air Force","31","24-7","1990","64.2","1695","54.7","9.5"
"19","Pittsburgh","33","25-8","2391","72.5","2082","63.1","9.4"
"20","George Mason","35","27-8","2429","69.4","2102","60.1","9.3"
"21","LSU","36","27-9","2633","73.1","2299","63.9","9.3"
"22","UCLA","39","32-7","2642","67.7","2288","58.7","9.1"
"23","Nevada","33","27-6","2401","72.8","2103","63.7","9.0"
"24","Arkansas","32","22-10","2359","73.7","2076","64.9","8.8"
"25","UAB","31","24-7","2306","74.4","2035","65.6","8.7"
"26","Davidson","31","20-11","2403","77.5","2137","68.9","8.6"
"27","Texas A&M","31","22-9","2130","68.7","1869","60.3","8.4"
"28","Penn","29","20-9","1987","68.5","1744","60.1","8.4"
"29","UNCW","33","25-8","2250","68.2","1975","59.8","8.3"
"30","Xavier","32","21-11","2290","71.6","2030","63.4","8.1"
"31","South Alabama","31","24-7","2283","73.6","2033","65.6","8.1"
"32","Boston College","36","28-8","2671","74.2","2383","66.2","8.0"
"33","Montana","31","24-7","2449","79.0","2202","71.0","8.0"
"34","UNI","33","23-10","2165","65.6","1907","57.8","7.8"
"35","Missouri St.","31","22-9","2301","74.2","2059","66.4","7.8"
"36","Iona","31","23-8","2475","79.8","2238","72.2","7.6"
"37","Milwaukee","31","22-9","2294","74.0","2061","66.5","7.5"
"38","Florida St.","30","20-10","2302","76.7","2077","69.2","7.5"
"39","UTEP","31","21-10","2074","66.9","1843","59.5","7.5"
"40","Houston","31","21-10","2245","72.4","2015","65.0","7.4"
"41","Utah St.","32","23-9","2307","72.1","2070","64.7","7.4"
"42","Iowa","34","25-9","2254","66.3","2003","58.9","7.4"
"43","Wichita St.","35","26-9","2422","69.2","2165","61.9","7.3"
"44","Gonzaga","33","29-4","2643","80.1","2402","72.8","7.3"
"","West Virginia","33","22-11","2334","70.7","2093","63.4","7.3"
"46","NC State","32","22-10","2383","74.5","2157","67.4","7.1"
"47","San Diego St.","33","24-9","2456","74.4","2223","67.4","7.1"
"","Georgetown","33","23-10","2177","66.0","1944","58.9","7.1"
"49","Tennessee","30","22-8","2413","80.4","2204","73.5","7.0"
"50","Akron","33","23-10","2407","72.9","2180","66.1","6.9"
"51","Col. of Charleston","28","17-11","2052","73.3","1861","66.5","6.8"
"52","Oral Roberts","33","21-12","2472","74.9","2248","68.1","6.8"
"53","Butler","33","20-13","2254","68.3","2032","61.6","6.7"
"54","Colorado","30","20-10","2305","76.8","2107","70.2","6.6"
"55","Kent St.","34","25-9","2458","72.3","2239","65.9","6.4"
"56","Clemson","32","19-13","2378","74.3","2172","67.9","6.4"
"57","Bradley","33","22-11","2359","71.5","2148","65.1","6.4"
"58","SFA","29","17-12","2104","72.6","1923","66.3","6.2"
"59","Old Dominion","34","24-10","2379","70.0","2169","63.8","6.2"
"60","Northwestern St.","34","26-8","2573","75.7","2365","69.6","6.1"
"61","Western Ky.","31","23-8","2408","77.7","2220","71.6","6.1"
"62","Holy Cross","32","20-12","2124","66.4","1935","60.5","5.9"
"63","Hofstra","33","26-7","2405","72.9","2216","67.2","5.7"
"64","Northern Ariz.","32","21-11","2444","76.4","2262","70.7","5.7"
"65","Notre Dame","30","16-14","2291","76.4","2121","70.7","5.7"
"66","Marquette","31","20-11","2325","75.0","2150","69.4","5.6"
"67","Samford","31","20-11","2036","65.7","1863","60.1","5.6"
"68","Toledo","31","20-11","2151","69.4","1980","63.9","5.5"
"69","Wisconsin","31","19-12","2205","71.1","2035","65.6","5.5"
"70","Michigan St.","34","22-12","2520","74.1","2334","68.6","5.5"
"71","Sam Houston St.","31","22-9","2309","74.5","2140","69.0","5.5"
"72","San Diego","30","18-12","2356","78.5","2194","73.1","5.4"
"73","Lipscomb","32","21-11","2329","72.8","2157","67.4","5.4"
"74","Louisville","34","21-13","2376","69.9","2196","64.6","5.3"
"75","VCU","29","19-10","1964","67.7","1811","62.4","5.3"
"76","Creighton","30","20-10","1982","66.1","1825","60.8","5.2"
"77","South Carolina","38","23-15","2575","67.8","2379","62.6","5.2"
"78","Michigan","33","22-11","2367","71.7","2197","66.6","5.2"
"79","Oklahoma","29","20-9","1995","68.8","1847","63.7","5.1"
"80","Valparaiso","29","17-12","2284","78.8","2138","73.7","5.0"
"81","Arizona","33","20-13","2433","73.7","2267","68.7","5.0"
"82","Cincinnati","34","21-13","2530","74.4","2359","69.4","5.0"
"83","Northeastern","30","19-11","2256","75.2","2107","70.2","5.0"
"84","Ga. Southern","30","20-10","2325","77.5","2180","72.7","4.8"
"85","Maryland","32","19-13","2505","78.3","2352","73.5","4.8"
"86","Indiana","31","19-12","2231","72.0","2084","67.2","4.7"
"87","Ohio","30","19-11","2077","69.2","1935","64.5","4.7"
"88","Central Conn. St.","29","18-11","2102","72.5","1968","67.9","4.6"
"89","Belmont","31","20-11","2499","80.6","2356","76.0","4.6"
"90","Kentucky","35","22-13","2477","70.8","2316","66.2","4.6"
"","Coastal Caro.","30","20-10","2144","71.5","2006","66.9","4.6"
"92","Oklahoma St.","33","17-16","2322","70.4","2171","65.8","4.6"
"93","Birmingham-So.","28","19-9","1922","68.6","1794","64.1","4.6"
"94","BYU","29","20-9","2209","76.2","2078","71.7","4.5"
"95","Saint Joseph's","33","19-14","2182","66.1","2034","61.6","4.5"
"96","Marist","29","19-10","2230","76.9","2101","72.4","4.4"
"97","Saint Mary's (CA)","29","17-12","2049","70.7","1921","66.2","4.4"
"98","Kansas St.","28","15-13","1911","68.3","1788","63.9","4.4"
"99","Troy","29","14-15","2166","74.7","2040","70.3","4.3"
"100","Oregon","33","15-18","2295","69.5","2156","65.3","4.2"
"101","California","31","20-11","2128","68.6","2000","64.5","4.1"
"102","Albany (NY)","32","21-11","2194","68.6","2065","64.5","4.0"
"103","Northern Ill.","28","17-11","2006","71.6","1894","67.6","4.0"
"104","Southern Ill.","33","22-11","1994","60.4","1864","56.5","3.9"
"105","Rutgers","33","19-14","2273","68.9","2144","65.0","3.9"
"106","La Salle","28","18-10","1941","69.3","1833","65.5","3.9"
"107","Long Beach St.","30","18-12","2498","83.3","2384","79.5","3.8"
"108","Cal St. Fullerton","29","16-13","2293","79.1","2183","75.3","3.8"
"109","Furman","28","15-13","2021","72.2","1921","68.6","3.6"
"110","ETSU","28","15-13","2284","81.6","2185","78.0","3.5"
"111","Lamar University","31","17-14","2487","80.2","2378","76.7","3.5"
"112","Syracuse","35","23-12","2535","72.4","2412","68.9","3.5"
"113","Fairleigh Dickinson","32","20-12","2377","74.3","2265","70.8","3.5"
"","Virginia Tech","30","14-16","2060","68.7","1955","65.2","3.5"
"115","UC Irvine","29","16-13","2068","71.3","1967","67.8","3.5"
