 


  
  

NCAA Men's Basketball
Division IScoring Margin
Through Games 04/02/2007


"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"1","Florida","40","35-5","3193","79.8","2504","62.6","17.2"
"2","North Carolina","38","31-7","3258","85.7","2608","68.6","17.1"
"3","Kansas","38","33-5","2978","78.4","2344","61.7","16.7"
"4","Texas A&M","34","27-7","2570","75.6","2021","59.4","16.1"
"5","Memphis","37","33-4","2918","78.9","2333","63.1","15.8"
"6","Akron","33","26-7","2485","75.3","2014","61.0","14.3"
"7","Winthrop","34","29-5","2545","74.9","2088","61.4","13.4"
"8","Notre Dame","32","24-8","2592","81.0","2176","68.0","13.0"
"9","Air Force","35","26-9","2414","69.0","1960","56.0","13.0"
"10","Davidson","34","29-5","2765","81.3","2336","68.7","12.6"
"11","Ohio St.","39","35-4","2905","74.5","2417","62.0","12.5"
"12","Wisconsin","36","30-6","2527","70.2","2083","57.9","12.3"
"13","UCLA","35","30-5","2503","71.5","2081","59.5","12.1"
"14","Maryland","34","25-9","2685","79.0","2295","67.5","11.5"
"15","Georgetown","37","30-7","2555","69.1","2146","58.0","11.1"
"16","Xavier","34","25-9","2595","76.3","2228","65.5","10.8"
"17","Butler","36","29-7","2434","67.6","2056","57.1","10.5"
"18","West Virginia","36","27-9","2610","72.5","2245","62.4","10.1"
"19","Nevada","34","29-5","2632","77.4","2296","67.5","9.9"
"20","Oregon","37","29-8","2807","75.9","2450","66.2","9.6"
"21","Texas","35","25-10","2860","81.7","2528","72.2","9.5"
"22","A&M-Corpus Christi","33","26-7","2615","79.2","2302","69.8","9.5"
"23","VCU","35","28-7","2626","75.0","2298","65.7","9.4"
"24","Georgia Tech","32","20-12","2515","78.6","2222","69.4","9.2"
"25","BYU","34","25-9","2654","78.1","2347","69.0","9.0"
"26","Missouri St.","33","22-11","2439","73.9","2150","65.2","8.8"
"27","Sam Houston St.","31","21-10","2397","77.3","2126","68.6","8.7"
"28","Massachusetts","33","24-9","2551","77.3","2270","68.8","8.5"
"29","Louisville","34","24-10","2433","71.6","2144","63.1","8.5"
"30","Pittsburgh","37","29-8","2637","71.3","2324","62.8","8.5"
"31","Indiana","32","21-11","2246","70.2","1976","61.8","8.4"
"32","Mississippi St.","35","21-14","2692","76.9","2398","68.5","8.4"
"33","Gonzaga","34","23-11","2668","78.5","2383","70.1","8.4"
"34","Duke","33","22-11","2323","70.4","2047","62.0","8.4"
"35","UNLV","37","30-7","2772","74.9","2470","66.8","8.2"
"36","Appalachian St.","33","25-8","2508","76.0","2239","67.8","8.2"
"37","Belmont","33","23-10","2390","72.4","2128","64.5","7.9"
"38","Villanova","33","22-11","2392","72.5","2132","64.6","7.9"
"39","Michigan St.","35","23-12","2276","65.0","2001","57.2","7.9"
"40","UConn","31","17-14","2181","70.4","1938","62.5","7.8"
"41","UCF","31","22-9","2258","72.8","2020","65.2","7.7"
"42","Syracuse","35","24-11","2645","75.6","2380","68.0","7.6"
"43","Clemson","36","25-11","2636","73.2","2365","65.7","7.5"
"44","Old Dominion","33","24-9","2290","69.4","2046","62.0","7.4"
"45","Washington St.","34","26-8","2273","66.9","2024","59.5","7.3"
"46","Virginia Tech","34","22-12","2428","71.4","2181","64.1","7.3"
"47","Oklahoma","31","16-15","2072","66.8","1848","59.6","7.2"
"48","Illinois","35","23-12","2245","64.1","1997","57.1","7.1"
"49","Southern Miss.","31","20-11","2149","69.3","1933","62.4","7.0"
"50","Marquette","34","24-10","2443","71.9","2207","64.9","6.9"
"51","Oral Roberts","34","23-11","2440","71.8","2206","64.9","6.9"
"52","Southern Ill.","36","29-7","2266","62.9","2023","56.2","6.8"
"53","Southern California","37","25-12","2656","71.8","2413","65.2","6.6"
"54","Purdue","34","22-12","2376","69.9","2154","63.4","6.5"
"55","High Point","32","22-10","2406","75.2","2201","68.8","6.4"
"56","Holy Cross","34","25-9","2171","63.9","1954","57.5","6.4"
"57","Penn","31","22-9","2297","74.1","2100","67.7","6.4"
"58","Creighton","33","22-11","2220","67.3","2011","60.9","6.3"
"59","Marist","34","25-9","2548","74.9","2337","68.7","6.2"
"60","Kent St.","32","21-11","2195","68.6","1998","62.4","6.2"
"61","Virginia","32","21-11","2463","77.0","2267","70.8","6.1"
"62","Vanderbilt","34","22-12","2594","76.3","2387","70.2","6.1"
"63","Tulsa","31","20-11","2120","68.4","1932","62.3","6.1"
"64","Georgia","33","19-14","2477","75.1","2279","69.1","6.0"
"65","Hawaii","31","18-13","2245","72.4","2062","66.5","5.9"
"66","Western Ky.","33","22-11","2580","78.2","2386","72.3","5.9"
