 


  
  

NCAA Men's Basketball
Division IScoring Margin
Through Games 03/16/2008


"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"NR","NJIT","29","0-29","1622","55.9","2233","77.0","-21.1"
"NR","N.C. Central","30","4-26","1686","56.2","2348","78.3","-22.1"


      <script type="text/javascript">
var gaJsHost = (("https:" == document.location.protocol) ? "https://ssl." : "http://www.");document.write(unescape("%3Cscript src='" + gaJsHost + "google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E"));
</script>
<script type="text/javascript">
try {
var pageTracker = _gat._getTracker("UA-2045383-4");                        
pageTracker._trackPageview();                                              
} catch(err) {}
</script>

      
